"rel_type","child_part_num","parent_part_num"
"M","822b","822"
"M","3230b","3230"
"M","x461b","x461"
"M","7039b","7039"
"M","2684c01b","2684c01"
"P","973pr2336c01","973c00"
"T","57531pat0001","57531"
"M","x469a","x469"
"M","27b","27"
"M","3634b","3634"
"M","51991a","51991"
"M","649p01b","649p01"
"M","4178a","4178"
"P","973pr2976c01","973c00"
"M","9244a","9244"
"M","4345b","4345"
"P","973pb0102c01","973c00"
"M","3242d","3242"
"P","970c05pr0250","970c00"
"M","clikits015a","clikits015"
"P","3626bpr0325","3626b"
"M","51991e","51991"
"P","19981pr0037","19981"
"M","3020a","3020"
"P","92456pr0112c01","92456c01"
"M","33299b","33299a"
"P","3626cpr2574","3626c"
"T","57562pat0002","57562"
"P","3004pr0016","3004"
"M","clikits109a","51686"
"M","tech014a","tech014"
"M","3005ptlb","3005ptl"
"M","3005ptyb","3005pty"
"M","649pb08b","649pb08"
"P","2454ps5","2454a"
"A","3665a","3665"
"P","41879pr0013","41879b"
"P","973pr2971c01","973c00"
"T","61792pat0001","61792"
"P","87079pr0064","87079"
"P","973pr2977c01","973c00"
"M","712b","712"
"P","973pr2974c01","973c00"
"P","973pr1769c01","973c00"
"P","3068bpr0241","3068b"
"M","3005pt7b","3005pt7"
"M","32439a","32439"
"P","973pr2984c01","973c00"
"P","98162pr0005","98162"
"P","3069bpr0139","3069b"
"P","973pr1345c01","973c00"
"M","3005ptoub","3005ptou"
"P","3626cpr1621","3626c"
"P","973pr2932c01","973c00"
"M","4093b","4093"
"P","970c19pr0818","970c00"
"P","973pr2949c01","973c00"
"M","3005ptxb","3005ptx"
"M","51991b","51991"
"P","3626cpr1638","3626c"
"P","970c00pr0821","970c00"
"M","645b","645"
"M","2016b","2016"
"P","973pr2937c01","973c00"
"P","973pr2972c01","973c00"
"M","604b","604"
"P","41751pr2","41751"
"P","92456pr0065c01","92456c01"
"M","60616b","60616"
"P","973pr3101c01","973c00"
"P","970c00pr1506","970c00"
"M","6933c","6933"
"P","3626cpr1742","3626c"
"M","3005pt2b","3005pt2"
"P","973pr3106c01","973c00"
"M","5306a","5306"
"P","970c00pr1505","970c00"
"P","3626cpr1741","3626c"
"P","3626cpr1744","3626c"
"M","2538a","2538"
"P","973pr3100c01","973c00"
"P","973pr1583c01","973c00"
"M","51991f","51991"
"P","973pr3127c01","973c00"
"M","3242c","3242"
"M","32b","32"
"P","973pr3105c01","973c00"
"P","973pb1479c01","973c00"
"M","3127b","3127"
"P","98159pr0005","98159"
"M","3127a","3127"
"P","973pr3126c01","973c00"
"M","4j003a","4j003"
"P","970c00pr0923","970c00"
"P","3626cpr1751","3626c"
"M","851a","851"
"M","2871a","2871"
"P","3626cpr1746","3626c"
"M","3005ptaub","3005ptau"
"M","6580a","6580"
"P","970c00pr1599","970c00"
"P","93066pr0003","3626c"
"M","3795a","3795"
"M","rb00166","rb00164"
"M","rb00167a","rb00167"
"P","973pr9860c01","973c00"
"P","973pb0103c01","973c00"
"T","57532pat0001","57532"
"M","30089b","30089a"
"P","973pr1437c01","973c00"
"P","973pr3047c01","973c00"
"M","sc003b","sc003"
"P","61285pr0001","61285"
"P","973pr1304c01","973c00"
"P","14769pr1002","14769"
"P","973pr3464c01","973c00"
"P","60603pr0002","60603"
"M","3006a","3006"
"M","32439b","32439"
"M","60800b","60800"
"P","973pr3183c01","973c00"
"M","6896a","6896"
"M","2731a","2731"
"P","3626cpr1606","3626c"
"M","3005pttb","3005ptt"
"P","3626cpr1608","3626c"
